token_norm,count,token_display
gantt-based planning,1,Gantt-Based Planning
digital workplace (microsoft 365,1,Digital Workplace (Microsoft 365
governance & risk alignment,1,Governance & Risk Alignment
google sites,1,Google Sites
sdlc,1,Sdlc
сбор и документирование требовании,1,сбор и документирование требовании
приоритизация бэклога,1,приоритизация бэклога
uat,1,Uat
управление проектами,1,управление проектами
azure iaas/paas,1,Azure Iaas/Paas
devsecops & ci/cd (sast/dast,1,Devsecops & Ci/Cd (Sast/Dast
sap / erp integration,1,Sap / Erp Integration
data governance & security,1,Data Governance & Security
program/portfolio governance,1,Program/Portfolio Governance
artifactory,1,Artifactory
datalens,1,Datalens
toad,1,Toad
dbeaver,1,Dbeaver
putty,1,Putty
adobe premiere pro,1,Adobe Premiere Pro
adobe creative cloud,1,Adobe Creative Cloud
databases (postgres,1,Databases (Postgres
bi (oracle bi,1,Bi (Oracle Bi
greenplum,1,Greenplum
finebi,1,Finebi
great expectations,1,Great Expectations
datahub,1,Datahub
openmetadata,1,Openmetadata
mlflow,1,Mlflow
feast,1,Feast
anaplan,1,Anaplan
debezium,1,Debezium
vertica,1,Vertica
exasol,1,Exasol
dmbok,1,Dmbok
togaf,1,Togaf
growth strategy & digital acquisition,1,Growth Strategy & Digital Acquisition
integrated marketing (digital,1,Integrated Marketing (Digital
martech & measurement (power bi,1,Martech & Measurement (Power Bi
algorithmic trading r&d,1,Algorithmic Trading R&D
1c initiatives,1,1C Initiatives
crm (sap crm,1,Crm (Sap Crm
hexagonal,1,Hexagonal
elma365,1,Elma365
spark performance tuning,1,Spark Performance Tuning
azure (aks,1,Azure (Aks
azure monitor,1,Azure Monitor
g-suite,1,G-Suite
canva,1,Canva
microsoft teams,1,Microsoft Teams
umbraco cms,1,Umbraco Cms
ai tools (notebooklm,1,Ai Tools (Notebooklm
deepseek,1,Deepseek
gemini,1,Gemini
figma (prototyping,1,Figma (Prototyping
azure information protection,1,Azure Information Protection
microsoft 365,1,Microsoft 365
dynamics 365,1,Dynamics 365
onedrive,1,Onedrive
graylog,1,Graylog
jsm,1,Jsm
moodle,1,Moodle
talantix,1,Talantix
staffcop,1,Staffcop
hadoop dwh support,1,Hadoop Dwh Support
azure ad,1,Azure Ad
gcp gke,1,Gcp Gke
business studio (bpmn,1,Business Studio (Bpmn
c# (.net framework,1,C# (.Net Framework
hrlink (кэдо,1,Hrlink (Кэдо
bi-системы,1,Bi-Системы
gantt pro,1,Gantt Pro
quality practices (ci/cd,1,Quality Practices (Ci/Cd
governance (raci,1,Governance (Raci
микросервисная архитектура,1,микросервисная архитектура
sla,1,Sla
мониторинг и операционная устоичивость,1,мониторинг и операционная устоичивость
управление бюджетом и подрядчиками,1,управление бюджетом и подрядчиками
irr,1,Irr
kpi и мотивация оптимизация оргструктуры и фот автоматизация процессов (crm,1,Kpi И Мотивация Оптимизация Оргструктуры И Фот Автоматизация Процессов (Crm
эдо) стандартизация и регламентация,1,эдо) стандартизация и регламентация
atlassian confluence,1,Atlassian Confluence
переговоры и презентации (в т.ч. для первых лиц,1,переговоры и презентации (в т.ч. для первых лиц
оптимизация и реинжиниринг бизнес-процессов,1,оптимизация и реинжиниринг бизнес-процессов
kpi dashboards (ms excel,1,Kpi Dashboards (Ms Excel
bitrix24 (crm/workflow/task tracking,1,Bitrix24 (Crm/Workflow/Task Tracking
jira (defect management,1,Jira (Defect Management
java test automation (selenium webdriver,1,Java Test Automation (Selenium Webdriver
integration testing,1,Integration Testing
data migration preparation,1,Data Migration Preparation
it governance & architecture boards,1,It Governance & Architecture Boards
scada,1,Scada
plm,1,Plm
pdm,1,Pdm
mom,1,Mom
allure testops,1,Allure Testops
qase,1,Qase
browserstack,1,Browserstack
devtools,1,Devtools
teamcity,1,Teamcity
openlens,1,Openlens
ci/cd & devops practices,1,Ci/Cd & Devops Practices
algorithms,1,Algorithms
3d geometry / slicing algorithms,1,3D Geometry / Slicing Algorithms
power bi (формирование требовании,1,Power Bi (Формирование Требовании
figma (контроль соответствия,1,Figma (Контроль Соответствия
декомпозиция и оценка трудозатрат,1,декомпозиция и оценка трудозатрат
переговоры и контрактная работа,1,переговоры и контрактная работа
reporting & analytics (power bi,1,Reporting & Analytics (Power Bi
data products & data governance,1,Data Products & Data Governance
управление бэклогом (jira,1,Управление Бэклогом (Jira
track&trace,1,Track&Trace
производственная цифровизация (mes,1,Производственная Цифровизация (Mes
blueprints-to-c++ migration,1,Blueprints-To-C++ Migration
ecm,1,Ecm
trading,1,Trading
dexs,1,Dexs
perps & trader segmentation,1,Perps & Trader Segmentation
tokenomics & raffle economics,1,Tokenomics & Raffle Economics
solana,1,Solana
ethereum,1,Ethereum
